Tiempo (s),Posición Y (px),Posición X (px),Posición Y (m),Posición X (m),Velocidad Y (m/s),Velocidad X (m/s),Aceleración Y (m/s^2),Aceleración X (m/s^2)
3.7666666666666666,92.0,804.0,0.832324,7.273788,-5.862456000000019,3.4740480000000016,20.84428799999987,0.0
3.7708333333333335,90.0,805.0,0.81423,7.282835,-5.645327999999961,3.0397919999999767,20.844288000002727,-2.5792701308091455e-12
3.775,86.0,807.0,0.7780419999999999,7.300929,-6.079584000000024,3.4740480000000016,-3.240074875066103e-12,20.844288000001487
3.779166666666667,83.0,808.0,0.7509009999999999,7.309975999999999,-6.079583999999956,3.4740479999999643,10.422144000002984,20.844287999997697
3.783333333333333,80.0,809.0,0.72376,7.319023,-6.079584000000021,3.039792000000009,10.422143999997152,-31.266431999998
3.7875,78.0,810.0,0.7056659999999999,7.328069999999999,-5.86245599999996,2.822663999999983,2.8563817977555826e-12,-31.26643200000066
3.7916666666666665,76.0,811.0,0.687572,7.337116999999999,-5.862456000000022,2.822663999999992,-10.422144000003078,-10.422143999999411
3.7958333333333334,73.0,813.0,0.660431,7.355211,-5.645328000000019,2.8226640000000134,20.844288000000084,-31.26643199999921
3.8,71.0,815.0,0.6423369999999999,7.373304999999999,-5.645328000000021,3.2569200000000054,20.84428799999716,-10.422143999998175
3.8041666666666667,68.0,817.0,0.615196,7.391399,-5.645328000000019,3.0397920000000305,20.844287999999956,1.023181539494537e-12
3.808333333333333,64.0,818.0,0.579008,7.400446,-6.079584000000021,3.039792000000009,-10.422144000003078,10.422144000001394
3.8125,62.0,820.0,0.560914,7.418539999999999,-6.079584000000021,3.256919999999984,-10.422143999999872,20.844287999999466
3.816666666666667,58.0,821.0,0.524726,7.427587,-6.0795839999999535,3.0397919999999767,-20.844287999996716,10.422143999998166
3.8208333333333333,56.0,823.0,0.506632,7.4456809999999995,-5.862456000000019,3.2569200000000267,-10.422143999999829,1.023181539494537e-12
3.825,53.0,824.0,0.47949099999999995,7.454728,-5.862455999999959,3.256919999999992,-10.422143999997058,10.422143999998081
3.8291666666666666,50.0,825.0,0.45235,7.463774999999999,-6.07958400000002,3.2569200000000054,4.263256414560571e-14,10.422143999999744
3.8333333333333335,47.0,827.0,0.42520899999999995,7.481869,-6.296711999999956,3.4740479999999856,-10.422143999996802,10.422144
3.8375,44.0,829.0,0.398068,7.499962999999999,-6.2967120000000225,3.4740480000000016,-10.422144000003462,20.844288000001487
3.841666666666667,43.0,830.0,0.38902099999999995,7.50901,-6.079583999999956,3.256919999999992,-10.422143999996887,-1.6626700016786227e-12
3.845833333333333,40.0,832.0,0.36188,7.527104,-6.079584000000021,3.2569200000000054,-10.42214400000312,6.394884621840993e-13
3.85,37.0,833.0,0.334739,7.536151,-5.862455999999957,3.256919999999992,10.422144000002941,-6.394884621840856e-13
3.8541666666666665,33.0,834.0,0.29855099999999996,7.545197999999999,-6.296712000000024,3.039792000000009,-3.2827074392117097e-12,-20.844287999999164
3.8583333333333334,30.0,837.0,0.27141,7.5723389999999995,-6.079584000000023,3.4740480000000016,10.422143999999914,0.0
3.8625,27.0,838.0,0.244269,7.581386,-6.2967120000000225,3.2569200000000267,-10.422144000003334,1.662670001678658e-12
3.8666666666666667,25.0,839.0,0.226175,7.590432999999999,-6.079584000000021,3.256919999999984,0.0,-1.023181539494537e-12
3.870833333333333,21.0,840.0,0.189987,7.59948,-6.2967120000000225,3.2569200000000267,-20.844288000003427,1.662670001678658e-12
3.875,18.0,842.0,0.16284599999999996,7.617573999999999,-6.2967120000000225,3.2569200000000054,8.526512829121142e-14,10.422143999999744
3.879166666666667,15.0,844.0,0.135705,7.635667999999999,-6.296711999999956,3.2569199999999707,-10.422143999996717,-10.422144000001406
3.8833333333333333,13.0,845.0,0.117611,7.644715,-6.513840000000021,3.2569200000000054,-10.422143999999872,-1.023181539494537e-12
3.8875,11.0,847.0,0.099517,7.662808999999999,-6.296711999999956,3.2569199999999707,-10.422143999996802,-6.394884621840856e-13
3.8916666666666666,7.0,848.0,0.063329,7.671855999999999,-6.513840000000024,3.256919999999984,-10.422144,-2.046363078989074e-12
3.8958333333333335,4.0,850.0,0.036188,7.68995,-6.296711999999954,3.4740479999999856,3.2827074392116394e-12,10.422143999998976
3.9,4.0,850.0,0.036188,7.68995,-5.64532800000002,2.8226640000000134,31.266431999997383,-20.844287999998247
3.904166666666667,5.0,851.0,0.045235,7.698996999999999,-4.7768159999999655,2.822663999999962,83.37715200000208,-20.84428800000194
3.908333333333333,8.0,851.0,0.072376,7.698996999999999,-3.691176000000013,2.605536000000017,125.06572799999904,-31.266431999998215
3.9125,10.0,852.0,0.09047,7.708044,-2.3884079999999828,2.605535999999989,198.02073600000054,-31.26643199999953
3.9166666666666665,12.0,853.0,0.108564,7.717090999999999,-1.302768000000004,2.3884079999999996,239.709312000001,-52.110720000000065
3.9208333333333334,14.0,854.0,0.126658,7.726138,-0.21712800000000076,2.1712800000000247,260.55359999999905,-31.26643199999923
3.925,15.0,854.0,0.135705,7.726138,0.43425600000000153,1.9541520000000074,250.13145600000198,-41.688575999998406
3.9291666666666667,17.0,854.0,0.153799,7.726138,1.3027680000000046,1.5198960000000152,239.70931199999916,-52.11071999999972
3.933333333333333,19.0,855.0,0.171893,7.735184999999999,2.605536000000009,1.519895999999994,239.70931200000302,-52.11072000000051
3.9375,22.0,857.0,0.199034,7.753279,3.9083040000000135,1.5198960000000152,250.13145599999905,-41.68857599999895
3.941666666666667,23.0,857.0,0.208081,7.753279,4.125431999999971,1.519895999999999,208.44287999999713,-31.26643200000101
3.9458333333333333,25.0,859.0,0.226175,7.771373,4.342560000000015,1.7370240000000114,187.59859199999931,-10.422143999999733
3.95,26.0,859.0,0.235222,7.771373,3.908303999999972,1.7370239999999928,125.06572799999752,10.422143999998848
3.9541666666666666,27.0,860.0,0.244269,7.7804199999999994,3.691176000000013,1.7370239999999901,52.11071999999981,10.422143999999744
3.9583333333333335,28.0,861.0,0.253316,7.789466999999999,3.474047999999975,1.7370239999999928,-20.844288000001704,10.422143999998848
3.9625,30.0,864.0,0.27141,7.816608,3.4740480000000122,2.1712800000000034,-31.26643199999845,31.266432000000655
3.966666666666667,32.0,864.0,0.289504,7.816608,3.6911759999999734,2.1712799999999803,-31.266432000001767,20.844287999998357
3.970833333333333,34.0,864.0,0.307598,7.816608,3.691176000000013,2.1712800000000034,-10.422143999998175,20.844288000000805
3.975,34.0,866.0,0.307598,7.834702,3.2569199999999765,2.388408000000017,-20.844288000001598,31.266432000001064
